List of countries by total area

https://simple.wikipedia.org/wiki/List_of_countries_by_area

This is a list of countries by total area. The total area is the sum of all land and Inland water bodies (lakes, reservoirs, rivers). Data is taken from the United Nations Statistics Division.

128 	Dominican Republic 	48,671 (18,792)
129 	Estonia 	45,227 (17,462)
130 	Denmark 	43,094 (16,639)
131 	Netherlands 	41,850 (16,160)
132 	Switzerland 	41,284 (15,940)
133 	Bhutan 	38,394 (14,824)
– 	Taiwan 	36,193 (13,974)
134 	Guinea-Bissau 	36,125 (13,948)
135 	Moldova 	33,846 (13,068)
136 	Belgium 	30,528 (11,787)
137 	Lesotho 	30,355 (11,720)
138 	Armenia 	29,743 (11,484)
139 	Solomon Islands 	28,896 (11,157)
140 	Albania 	28,748 (11,100)
141 	Equatorial Guinea 	28,051 (10,831)
142 	Burundi 	27,834 (10,747)
143 	Haiti 	27,750 (10,710)
144 	Rwanda 	26,338 (10,169)
145 	North Macedonia 	25,713 (9,928)
146 	Djibouti 	23,200 (9,000)
147 	Belize 	22,966 (8,867)
148 	El Salvador 	21,041 (8,124)
149 	Israel 	20,770 (8,020)
150 	Slovenia 	20,273 (7,827
